code,timestamp_started,timestamp_ended,attacker_id,attacker_name,attacker_faction,attacker_factionname,defender_id,defender_name,defender_faction,defender_factionname,result,stealthed,respect,chain,raid,ranked_war,respect_gain,respect_loss,modifiers_fair_fight,modifiers_war,modifiers_retaliation,modifiers_group_attack,modifiers_overseas,modifiers_chain_bonus
03d692d0a5f7a4401e1482cd3903663e,1682146805,1682146851,350355,PadanFain,22968,Revolutionary Guerrillas,2085947,DodgyBarnet,44762,The Power Rangers,Attacked,0,12.01,535,0,1,12.01,3,3,2,1,1,1,1.43
67cee008b1c929bf5d73b2e0c3804170,1682146881,1682146893,,,,,2879869,BOTViking,44762,The Power Rangers,Attacked,1,3.8,536,0,1,3.8,0.95,1.33,2,1,1,1,1.43
451f845af0efa0a376d9d6b363dc3d35,1682146926,1682146933,,,,,2878315,Dustyplok,44762,The Power Rangers,Attacked,1,3.79,537,0,1,3.79,0.95,1.34,2,1,1,1,1.43
2464b68052bc98674ae054a431a51fd2,1682147001,1682147011,,,,,2865326,Ravensight,44762,The Power Rangers,Attacked,1,3.95,538,0,1,3.95,0.99,1.38,2,1,1,1,1.43
9431da1b947b2343217feb5590959a9e,1682147110,1682147121,,,,,2864369,LordTenchi,44762,The Power Rangers,Attacked,1,3.17,539,0,1,3.17,0.79,1.12,2,1,1,1,1.43
ded1dfedd4dc327e7db9814227f23326,1682147283,1682147291,,,,,2850877,AP86,44762,The Power Rangers,Attacked,1,4.16,542,0,1,4.16,1.04,1.47,2,1,1,1,1.43
96380c66812f3ba3217bdaa48c6d8af7,1682147331,1682147343,350355,PadanFain,22968,Revolutionary Guerrillas,2085947,DodgyBarnet,44762,The Power Rangers,Attacked,0,12.01,544,0,1,12.01,3,3,2,1,1,1,1.43
9d84aceb641fb9f74585713fc10b39fe,1682147356,1682147362,,,,,2467799,YangGang,44762,The Power Rangers,Attacked,1,4.38,545,0,1,4.38,1.1,1.38,2,1,1,1,1.43
06ec9c4a2c780b0ad063431cd562d9e1,1682147394,1682147423,350355,PadanFain,22968,Revolutionary Guerrillas,2167036,Ryukendo,44762,The Power Rangers,Attacked,0,10.45,547,0,1,10.45,2.61,2.79,2,1,1,1,1.43
99d12e4ec7c8062a9031c6f356cecd74,1682147404,1682147409,2678362,Stewart33,22968,Revolutionary Guerrillas,2684537,mesht,44762,The Power Rangers,Attacked,0,3.58,546,0,1,3.58,0.9,1.17,2,1,1,1,1.43
d7e2dd3e3e02ece3e4afb389664d9bab,1682147417,1682147429,,,,,2675997,112,44762,The Power Rangers,Attacked,1,3.47,548,0,1,3.47,0.87,1.25,2,1,1,1,1.43
e210812181f58ecb8f883859ca9d8b72,1682147474,1682147486,2678362,Stewart33,22968,Revolutionary Guerrillas,2101656,BristolBrick,44762,The Power Rangers,Attacked,0,9.87,549,0,1,9.87,2.47,3,2,1,1,1,1.43
cad072c06268b53f40d17f8003d54481,1682147501,1682147509,2731374,young-willy,44762,The Power Rangers,2824916,Kaka-shi,22968,Revolutionary Guerrillas,Attacked,1,4.22,1,0,1,4.22,1.06,2.11,2,1,1,1,1
70d6f293780c8bdf2e812417d146fc9f,1682147523,1682147542,,,,,2669087,thekwebb,44762,The Power Rangers,Attacked,1,4.36,550,0,1,4.36,1.09,1.56,2,1,1,1,1.44
43d766502165cf5d969834f925d8b85e,1682147545,1682147557,2731374,young-willy,44762,The Power Rangers,2628492,Greshlyr,22968,Revolutionary Guerrillas,Attacked,1,3.53,2,0,1,3.53,0.88,1.51,2,1,1,1,1
eb6f804d5c25dd3b6642caadb03d4e20,1682147591,1682147611,2731374,young-willy,44762,The Power Rangers,2378426,gHosTsHaDoWmisT,22968,Revolutionary Guerrillas,Lost,0,0,0,0,0,0,0,1,1,1,1,1,1
48504db9f6e406ec4eaf7f43288ff2e8,1682147685,1682147694,2678362,Stewart33,22968,Revolutionary Guerrillas,2314829,TheAlbanian,44762,The Power Rangers,Attacked,0,3.55,551,0,1,3.55,0.89,1.11,2,1,1,1,1.44
